recordid,date,type,notes,transactionid,employeeid,officeid
1,2021-10-04,Revenue,Hotel ago past ground ground involve son.,332,28,4
2,2021-04-11,Expense,Father without paper second my section man.,420,77,12
3,7/18/20,Revenue,Argue loss worry contain.,193,8,10
4,10/19/21,Expense,Sport national heavy reduce future.,700,96,5
5,4/17/22,Commission,Instead or necessary score example nearly democratic prevent.,191,63,20
6,2021-03-09,Expense,,810,94,8
7,2022-04-03,Commission,Film technology attention already.,173,78,13
8,9/21/21,Commission,Represent contain none woman left bar.,998,33,7
9,2021-12-02,Commission,Expect south into I.,818,92,20
10,2021-06-06,Revenue,Feel military necessary course where.,309,34,16
11,2020-05-06,Commission,,505,1,1
12,2022-01-08,Commission,Day sister financial future choose south.,456,3,2
13,12/21/20,Revenue,,451,18,20
14,1/28/21,Revenue,Cost beat middle lay design perform someone.,835,33,19
15,2020-03-05,Revenue,History course detail color.,705,99,4
16,2021-04-05,Revenue,In western ago police.,57,82,18
17,2021-02-01,Expense,,140,8,6
18,5/19/21,Revenue,,705,9,4
19,2020-12-07,Revenue,Into culture response bill else major why.,275,27,19
20,11/16/22,Revenue,Third act very notice.,75,21,2
21,11/16/20,Expense,,463,57,5
22,2021-03-09,Commission,Realize focus head opportunity future start.,692,37,11
23,4/23/22,Revenue,Appear interesting guy democratic.,812,93,4
24,2022-11-02,Revenue,,668,21,16
25,3/28/22,Expense,,398,27,9
26,2022-06-04,Expense,,398,54,20
27,6/27/22,Expense,Least challenge behavior hospital and option near.,324,83,18
28,5/26/22,Revenue,,860,27,10
29,3/19/22,Commission,Early adult prevent yard visit.,931,3,20
30,2021-02-05,Expense,,304,10,18
31,2021-09-04,Commission,,729,72,13
32,2020-11-01,Commission,,20,83,5
33,11/30/20,Expense,,860,47,13
34,2020-03-12,Commission,Remember however find among.,341,14,20
35,2021-02-02,Expense,,513,97,8
36,2022-11-11,Revenue,Dog its in south apply reality world.,375,52,3
37,2022-11-02,Expense,Into address forget both cup often behind.,205,93,1
38,5/29/20,Revenue,Marriage him street heart first soon budget base.,36,68,12
39,2/20/20,Revenue,,882,86,11
40,2020-07-04,Revenue,,502,46,14
41,2022-08-05,Expense,,1,14,9
42,10/18/22,Expense,,930,66,15
43,2021-03-05,Revenue,,837,58,17
44,2021-04-05,Expense,,750,99,19
45,2021-12-04,Commission,Enjoy herself three bill difficult history.,790,10,11
46,2022-10-02,Commission,Party executive agree always theory.,445,17,5
47,7/20/22,Expense,Let develop live back artist key glass.,463,97,9
48,4/21/20,Expense,,762,22,12
49,2021-10-12,Revenue,Must world bad wrong.,113,86,17
50,2020-08-12,Expense,,257,62,3
51,2/24/22,Revenue,,952,32,13
52,7/14/21,Expense,,257,72,9
53,3/17/21,Revenue,,80,28,7
54,4/19/20,Expense,Trouble paper even nearly material unit suddenly.,295,49,20
55,11/22/22,Revenue,May campaign religious huge western.,61,75,12
56,2021-10-04,Expense,,498,72,17
57,2022-09-03,Expense,Professional husband will push enough try cup.,843,37,10
58,7/19/22,Commission,Discuss resource woman will sure.,563,89,7
59,8/27/21,Revenue,World clearly early act present report Democrat.,685,31,13
60,2021-04-06,Expense,,4,59,3
61,2020-11-02,Commission,,853,13,20
62,8/25/21,Commission,,484,16,13
63,2/16/21,Commission,,838,8,3
64,6/17/22,Expense,,786,43,6
65,6/25/21,Commission,,187,35,19
66,8/15/22,Revenue,Government within operation writer actually benefit meet.,131,92,19
67,9/21/20,Revenue,,668,15,15
68,11/16/21,Expense,Human soon record employee whom.,682,26,2
69,6/13/22,Commission,Against beyond dream seem news minute.,563,93,11
70,7/22/22,Revenue,Pay foot budget common which.,612,23,8
71,2020-11-12,Revenue,No defense operation rather.,449,89,9
72,11/14/21,Revenue,,153,94,6
73,1/16/20,Revenue,,831,78,20
74,6/24/22,Revenue,,380,49,9
75,2021-03-08,Commission,Three able power than Republican.,561,13,12
76,9/22/21,Commission,Should financial seven their note without cup.,523,98,2
77,2021-09-08,Commission,Government whom onto suggest money number state prevent.,811,100,1
78,9/20/21,Expense,Manager key first easy real woman.,394,66,16
79,2020-10-01,Revenue,,544,35,9
80,5/29/22,Commission,Hair resource Republican specific beyond chair report accept.,918,12,9
81,2021-02-12,Revenue,Understand structure picture street look really.,838,81,5
82,5/31/20,Commission,Country each but after position area.,633,74,8
83,2021-02-12,Revenue,,990,2,18
84,12/17/20,Revenue,,910,93,2
85,11/16/21,Revenue,,612,52,16
86,8/24/21,Expense,,545,94,14
87,2/21/21,Revenue,,994,66,7
88,8/29/21,Expense,Agree American production bit.,231,29,2
89,2020-06-08,Revenue,,376,30,5
90,2022-10-04,Revenue,,326,39,4
91,2/15/21,Expense,,223,71,15
92,2022-02-12,Commission,,528,53,3
93,8/31/20,Commission,Coach dinner local whom voice nice.,679,1,11
94,2020-06-11,Expense,,924,15,17
95,10/25/21,Revenue,,304,12,5
96,5/24/21,Commission,,455,9,13
97,7/22/22,Expense,,296,14,18
98,10/19/20,Revenue,Position check before action yes.,569,81,17
99,10/28/22,Revenue,Former management various off question people pretty.,697,44,9
100,2022-07-01,Revenue,,755,1,12
101,2022-08-08,Revenue,,841,26,19
102,12/23/21,Expense,Project before walk development travel little control when.,537,8,11
103,2020-09-10,Commission,Set seven whether activity.,562,93,11
104,8/18/21,Expense,,308,18,8
105,2/19/20,Commission,,707,16,6
106,2022-12-09,Expense,Best medical especially set position.,204,12,9
107,12/18/22,Expense,Direction to develop specific common.,30,80,7
108,5/21/22,Expense,,3,45,4
109,2/16/21,Expense,Outside himself bit high American.,901,54,11
110,4/24/20,Expense,,352,36,9
111,2022-06-06,Revenue,,384,36,3
112,12/29/21,Revenue,,530,88,7
113,5/23/20,Expense,Glass shoulder treatment trade able image upon.,796,10,10
114,2/24/21,Revenue,Soon manage able role.,870,29,4
115,9/14/22,Revenue,Want according senior five.,41,53,13
116,4/23/20,Revenue,Quickly analysis beat system.,275,65,5
117,2021-05-11,Revenue,Fight quality bag claim bar war.,692,74,1
118,2021-03-04,Revenue,Boy rich two less.,669,45,16
119,8/31/20,Expense,Ten eight if.,969,7,8
120,12/24/20,Revenue,,672,6,8
121,2022-01-06,Revenue,,269,47,1
122,2022-07-03,Commission,,35,100,6
123,10/31/22,Revenue,Not television price far pattern have knowledge.,549,37,20
124,8/17/22,Commission,,658,57,17
125,2020-11-08,Expense,,541,36,7
126,2020-04-10,Expense,,357,66,12
127,1/26/21,Commission,Television card soon not machine money husband quickly.,728,93,16
128,10/24/22,Commission,City very fly never.,591,3,13
129,2020-07-04,Expense,,936,78,10
130,3/17/21,Revenue,,346,30,12
131,3/26/21,Expense,Relationship perform nothing over policy.,971,33,2
132,7/17/21,Expense,,863,86,6
133,6/26/21,Revenue,,633,54,19
134,6/26/20,Commission,,879,91,4
135,2020-03-10,Revenue,Exist meet lead.,157,10,18
136,2/19/22,Revenue,,771,30,7
137,2020-01-06,Commission,Bank investment loss plan including class.,761,56,14
138,11/23/21,Expense,Economy trip team edge somebody difficult skill well.,612,99,6
139,12/22/22,Commission,Place him bag model east those early.,496,36,9
140,11/22/21,Revenue,Describe street western citizen main however necessary.,34,17,19
141,4/15/21,Commission,,477,31,17
142,2020-10-11,Revenue,,166,26,20
143,3/16/21,Expense,,563,82,17
144,4/16/22,Commission,,812,18,12
145,7/22/21,Revenue,Energy treat subject either.,135,56,4
146,9/19/22,Commission,Impact establish hear expert.,711,6,1
147,2021-09-10,Expense,,311,18,20
148,9/18/21,Revenue,,333,25,5
149,2021-09-07,Revenue,Expert effect available one section among.,582,70,11
150,7/29/20,Commission,,794,68,14
151,12/31/20,Revenue,Manage agree career rest beat national include.,497,11,18
152,2021-04-02,Revenue,Summer face on plant detail tough bank.,892,55,14
153,2022-02-01,Commission,,182,28,14
154,4/25/22,Revenue,Product include chance future outside play.,633,96,18
155,2022-01-03,Expense,Attack happen board very serious.,125,72,11
156,9/13/20,Expense,Owner a training effect score suggest.,547,81,8
157,2/16/22,Revenue,,453,27,9
158,2021-02-07,Revenue,Behind but card sister meeting whose cover.,100,80,19
159,11/27/20,Revenue,Interest participant wind police relationship.,635,86,7
160,11/17/22,Expense,,328,62,19
161,2021-06-05,Expense,My local arm our both.,980,67,7
162,2022-11-07,Expense,Training tax respond popular value near.,795,100,6
163,3/28/22,Revenue,Expert structure yeah forget.,65,63,6
164,5/20/21,Expense,Hospital beat person suffer.,626,71,4
165,4/18/22,Expense,,798,33,6
166,6/13/22,Expense,,692,52,9
167,6/22/20,Commission,Together sit soon different skin mean.,688,61,19
168,2021-06-03,Revenue,Rather though trip change.,824,61,16
169,2021-02-09,Revenue,Thus finally along itself.,674,79,3
170,4/26/21,Commission,,169,92,11
171,6/23/21,Revenue,Off serve heavy majority know song leg.,263,73,6
172,2020-04-09,Expense,Order major ten big everything discuss medical.,692,43,3
173,10/29/21,Revenue,,511,55,3
174,11/26/20,Commission,Character coach site.,108,49,12
175,6/28/21,Revenue,Woman pick candidate PM.,717,90,17
176,1/14/20,Expense,,193,100,14
177,6/15/20,Expense,Something each wife general face.,944,93,11
178,2/23/22,Expense,,970,78,18
179,2021-05-01,Revenue,,410,100,12
180,12/21/22,Revenue,Focus indicate look everybody weight.,297,59,4
181,9/15/21,Revenue,,150,20,7
182,2020-02-08,Expense,Provide mission this population body network give.,691,9,3
183,12/27/21,Commission,,903,83,5
184,3/31/21,Revenue,Suddenly cup human prepare simple.,224,92,20
185,1/15/21,Commission,,885,96,17
186,5/14/21,Expense,,969,92,17
187,6/15/22,Commission,Travel television receive throughout happen.,362,36,19
188,2021-03-03,Commission,Likely activity bit.,25,31,17
189,2022-03-08,Revenue,,446,30,9
190,1/13/22,Commission,Fear condition third science factor everyone account.,442,61,19
191,11/27/20,Revenue,Show dark play political area.,822,69,5
192,2020-02-05,Revenue,,531,72,18
193,2020-09-05,Expense,,735,46,3
194,2020-05-11,Revenue,,818,92,17
195,2021-06-06,Revenue,,538,89,16
196,8/22/20,Revenue,,565,74,12
197,8/30/21,Revenue,Agency market them.,321,89,15
198,8/27/20,Expense,,142,14,6
199,2020-04-07,Commission,,505,53,1
200,10/20/21,Expense,We owner model occur very.,287,81,2
201,8/17/22,Commission,,755,35,20
202,2020-08-07,Revenue,Project describe husband career single.,810,31,10
203,4/14/22,Commission,,835,81,12
204,2020-10-07,Expense,,713,61,18
205,8/16/20,Expense,,749,15,14
206,6/29/21,Commission,,652,43,3
207,1/22/20,Expense,,579,8,17
208,6/14/22,Expense,Way kind hard attack.,337,19,13
209,2022-05-09,Commission,Scene know job short.,524,13,15
210,10/14/22,Revenue,Space Republican truth already stuff.,435,35,15
211,2021-11-07,Revenue,,482,63,5
212,6/21/21,Expense,Pick middle able believe respond unit left.,431,23,1
213,2020-02-12,Expense,,226,19,3
214,7/14/22,Expense,,978,96,19
215,4/20/22,Expense,,608,8,5
216,2021-07-07,Commission,Likely maybe day almost.,92,46,10
217,1/27/20,Expense,Try defense green effect any front.,803,2,6
218,12/27/22,Expense,,363,71,20
219,9/21/22,Expense,Investment production and seem song.,965,81,12
220,7/15/20,Expense,North not oil skill conference thing question measure.,118,11,10
221,2022-10-01,Revenue,,91,43,16
222,2020-04-11,Commission,End occur call item avoid account true face.,339,76,2
223,5/26/20,Revenue,Finish add wide alone range town cold answer.,662,94,18
224,2022-04-08,Revenue,Opportunity wrong fight prepare assume.,459,26,18
225,11/16/20,Revenue,Mr difference put stage.,62,52,17
226,10/22/21,Expense,,150,12,3
227,2/25/20,Revenue,End short blue care fall yes bill old.,700,89,6
228,2020-01-08,Revenue,To take no word.,530,44,4
229,3/24/21,Revenue,,177,70,19
230,2021-05-11,Commission,,518,96,9
231,7/30/21,Expense,Draw write later piece activity.,9,40,6
232,12/25/20,Commission,,114,2,18
233,2021-09-10,Commission,Nearly ready century music show major.,591,76,8
234,2021-02-06,Commission,,436,74,16
235,10/13/22,Revenue,,580,24,17
236,10/24/22,Commission,Talk feel interesting pressure kitchen join pretty.,384,94,16
237,3/21/22,Expense,Despite own always according financial what bag.,296,31,6
238,9/14/21,Expense,,551,24,10
239,5/29/21,Revenue,,608,73,6
240,8/13/20,Revenue,Situation kind wind discussion.,643,12,18
241,8/16/21,Expense,,163,65,8
242,10/25/22,Expense,,402,46,6
243,10/14/21,Commission,Military wife sense simple give account.,750,38,18
244,11/16/22,Commission,,708,42,2
245,6/17/22,Commission,Growth cup end goal fast reach.,118,4,7
246,8/27/21,Commission,,110,23,5
247,2021-05-01,Expense,,849,1,10
248,12/14/21,Expense,,252,37,3
249,2020-01-05,Revenue,,368,94,19
250,4/28/21,Commission,,382,59,19
251,8/20/21,Revenue,,290,37,12
252,2021-08-10,Commission,,393,80,1
253,11/22/22,Expense,After reality draw generation some always bag.,226,52,10
254,12/16/20,Revenue,,257,74,18
255,5/25/21,Expense,,477,65,16
256,2021-02-03,Expense,Ahead effort though Democrat side others wait remember.,83,84,5
257,1/15/21,Expense,,347,7,5
258,5/18/22,Expense,,879,70,15
259,12/16/21,Revenue,Girl goal sister or.,132,50,19
260,10/17/22,Revenue,,90,96,6
261,2021-12-10,Revenue,Anything question head.,257,77,10
262,2022-08-01,Expense,I day fine phone.,919,75,14
263,2021-12-07,Expense,State hotel public wonder sure sort concern.,366,59,16
264,9/23/22,Revenue,,876,17,7
265,7/31/20,Commission,,579,58,3
266,2/13/20,Commission,Security when wish.,281,21,13
267,6/14/22,Commission,,780,10,11
268,2022-03-03,Commission,,14,84,3
269,9/17/22,Revenue,People air simple glass seem morning.,650,14,17
270,2021-08-09,Revenue,,111,67,20
271,6/23/21,Commission,,893,46,20
272,6/21/21,Revenue,Top allow call spring as such serve.,955,44,17
273,2022-09-02,Commission,Movie number court produce book.,974,30,3
274,5/29/21,Expense,Member director improve Mr.,26,82,17
275,4/19/22,Commission,Buy son decide coach century.,1000,37,6
276,2020-12-10,Commission,,973,55,2
277,5/31/21,Revenue,Car spring stay to page perhaps determine.,515,85,3
278,3/21/21,Commission,,840,71,15
279,8/16/22,Revenue,,682,83,16
280,2/26/22,Commission,Home car it office worry surface.,432,44,12
281,5/27/20,Expense,Piece sit believe up half.,780,55,3
282,2022-08-09,Revenue,Ball every finish conference table.,579,2,14
283,2022-12-07,Expense,,673,10,17
284,2022-09-04,Commission,Open source itself return firm contain bed choose.,442,34,3
285,2020-02-07,Revenue,Activity raise billion exactly capital rest.,183,56,7
286,3/20/21,Revenue,,994,63,4
287,10/14/21,Revenue,Series any field contain.,562,80,1
288,2021-08-11,Expense,,228,74,14
289,2022-11-06,Commission,Quickly south set hear.,829,28,18
290,2020-05-12,Revenue,Movie sell enter whom.,398,45,12
291,2021-12-08,Revenue,Trouble project animal rest occur.,731,37,4
292,2021-10-03,Commission,,78,87,19
293,10/23/20,Revenue,,499,35,11
294,8/30/20,Expense,,23,70,8
295,2021-02-12,Commission,,35,66,17
296,2021-08-03,Revenue,Project forward spring radio hotel right.,957,52,13
297,8/21/21,Commission,,444,26,17
298,2021-05-07,Expense,,429,35,7
299,10/18/20,Expense,,957,22,19
300,6/24/20,Expense,,600,1,17
301,9/25/20,Commission,Nearly argue industry table continue.,177,50,19
302,4/30/21,Commission,Information approach their act beat side.,195,47,2
303,1/26/22,Revenue,Theory such clear hair that politics.,434,19,3
304,12/23/21,Expense,,940,67,14
305,7/14/22,Commission,Down money understand show could else.,638,83,7
306,11/18/21,Revenue,Talk if trouble performance week order south catch.,745,55,9
307,4/17/21,Commission,Memory everyone he discussion range best.,922,60,11
308,2022-05-01,Expense,,205,60,11
309,7/24/22,Commission,,87,11,15
310,1/31/20,Revenue,Number song meeting general.,444,9,9
311,12/30/21,Revenue,Weight record family able coach.,982,16,20
312,2020-01-11,Revenue,,766,100,18
313,2020-06-06,Revenue,,775,88,12
314,2022-06-02,Expense,,29,60,1
315,2021-11-04,Expense,My place high create.,238,36,13
316,10/29/20,Revenue,Ten leave professor tend baby run class.,899,77,12
317,1/23/22,Commission,Only little simply difficult whatever plan cup.,845,35,19
318,2021-09-07,Revenue,Produce meeting house shake concern.,166,44,9
319,12/20/20,Commission,Far food over office amount standard we.,24,16,9
320,2021-11-02,Expense,,121,86,19
321,11/26/21,Expense,,485,86,12
322,2/13/21,Commission,,425,80,8
323,2/27/21,Commission,,757,97,2
324,7/29/21,Expense,Seven she eat fast look.,360,90,13
325,2020-03-08,Commission,Floor air conference I method brother.,996,44,12
326,9/16/22,Revenue,,704,6,19
327,2020-08-02,Expense,Whole Mrs then huge ball.,506,96,1
328,2022-10-05,Expense,Whose send rule field head about history.,677,65,9
329,2020-09-08,Expense,,38,54,11
330,2022-01-04,Expense,,210,19,1
331,7/25/20,Expense,,653,9,3
332,2022-08-07,Commission,,341,45,9
333,7/14/22,Commission,,326,30,9
334,12/19/20,Commission,,630,19,6
335,8/23/21,Expense,President challenge among start style various newspaper.,319,64,4
336,12/13/20,Revenue,,257,72,1
337,2022-06-04,Revenue,,39,5,14
338,2022-02-06,Expense,,799,17,11
339,2/17/21,Commission,Result serve affect history together.,795,62,5
340,2020-05-10,Commission,,525,6,1
341,2/17/20,Commission,Herself be carry.,788,21,20
342,2021-12-11,Revenue,,815,36,15
343,4/14/22,Expense,,687,79,16
344,7/28/21,Expense,Drug blue meet well remain machine product set.,230,60,7
345,2022-03-06,Commission,Economic line employee simply such interview study.,248,35,1
346,4/15/22,Commission,Close make I sound.,412,14,9
347,12/20/21,Revenue,,276,30,13
348,7/27/21,Expense,,495,10,10
349,12/15/20,Commission,We first culture.,626,3,3
350,1/17/21,Commission,,307,78,7
351,6/21/21,Revenue,Notice together we no brother.,554,14,11
352,11/24/20,Commission,,995,62,6
353,9/17/20,Expense,Suffer lawyer fear Mrs case successful.,613,51,15
354,2022-12-10,Revenue,,289,68,15
355,2022-08-08,Revenue,,772,33,12
356,8/26/21,Revenue,,616,46,1
357,2022-02-11,Revenue,,630,61,12
358,11/13/20,Commission,,476,41,12
359,2022-12-08,Commission,,691,85,16
360,2021-02-09,Revenue,Recent century teacher view situation.,76,39,15
361,2021-12-03,Revenue,Pretty though practice keep share.,812,81,5
362,11/17/21,Expense,Enjoy attack its yard it.,690,83,4
363,2022-05-08,Expense,,361,17,3
364,12/26/21,Revenue,Three treatment discussion media.,154,48,3
365,2020-06-02,Revenue,Apply recognize story later similar understand.,280,4,14
366,8/20/21,Revenue,,552,13,8
367,1/19/21,Revenue,His personal war war.,402,21,14
368,2022-12-05,Expense,But any nature she worker.,101,26,1
369,6/23/20,Expense,,765,6,1
370,5/21/20,Commission,,566,45,20
371,10/26/20,Revenue,Should billion season.,227,51,3
372,2021-08-03,Revenue,,481,10,15
373,3/26/20,Revenue,Bank give him none forward here.,492,55,14
374,9/18/20,Expense,Reflect red forward per black.,710,94,12
375,2022-08-02,Expense,,223,29,3
376,2021-04-10,Commission,Worker avoid nearly rock lay product.,473,19,12
377,3/25/21,Revenue,,664,82,10
378,10/14/21,Commission,You company stuff prevent.,654,48,2
379,6/30/21,Revenue,,129,44,7
380,1/26/22,Commission,,345,81,19
381,5/17/22,Revenue,Suddenly citizen power describe here eight.,886,93,15
382,2021-02-12,Expense,Movie still current agency PM.,991,63,11
383,2020-05-01,Revenue,,176,6,2
384,5/28/21,Commission,Board case site serious region.,274,17,5
385,2/21/22,Revenue,Within strong these matter foot every.,844,99,4
386,6/16/22,Commission,Commercial organization conference.,640,46,11
387,8/20/20,Expense,,729,94,19
388,9/16/21,Commission,,390,14,20
389,11/23/22,Commission,,562,8,17
390,2021-07-01,Commission,News me cut popular.,630,90,20
391,9/28/21,Commission,,899,79,11
392,2/20/21,Revenue,,234,85,20
393,3/24/21,Revenue,,872,24,2
394,7/19/20,Commission,,43,88,1
395,2020-11-12,Revenue,Meeting him left medical white.,59,55,10
396,2022-11-05,Revenue,Foot small about.,658,65,3
397,2022-06-05,Revenue,,411,14,2
398,2021-04-02,Commission,,1,47,4
399,4/15/22,Revenue,,372,17,10
400,8/19/20,Commission,Modern likely house partner involve record again.,100,47,8
401,7/14/20,Revenue,,253,99,11
402,2021-09-06,Revenue,,846,89,6
403,2020-07-12,Commission,,439,6,14
404,2022-07-07,Commission,,778,28,16
405,7/26/20,Revenue,Necessary new production pass.,713,90,11
406,2020-08-08,Revenue,,695,1,2
407,8/24/21,Commission,Very he television write people.,57,74,9
408,2021-07-07,Commission,Entire box first election finally president material.,746,71,17
409,2021-01-05,Revenue,International see three from trial.,754,34,12
410,1/21/22,Revenue,Knowledge everyone already safe must leg against.,573,44,9
411,1/27/22,Expense,,869,80,18
412,2021-10-02,Commission,Thought program machine until bad reveal throughout sea.,603,35,11
413,10/20/22,Commission,Fly view water election ten season view mission.,804,91,7
414,2021-07-01,Revenue,Certainly nation coach about particularly.,541,100,10
415,2022-09-11,Expense,,756,11,2
416,1/24/22,Revenue,,454,16,13
417,12/31/20,Expense,Significant forget election culture attention than.,96,25,16
418,6/21/22,Revenue,,651,75,11
419,2020-03-11,Revenue,Near medical strong wall head election.,666,11,14
420,2022-08-03,Commission,Quality pass successful behind ground condition job.,676,39,9
421,2021-09-11,Expense,,160,13,8
422,5/24/22,Revenue,Hair population chance executive fish station week.,676,64,10
423,10/16/20,Expense,,749,5,10
424,2/14/20,Revenue,,751,84,16
425,9/13/22,Commission,Enough thing exist build.,223,26,17
426,2021-08-07,Expense,Enough turn test instead.,654,22,7
427,1/29/20,Expense,Last administration indeed attack.,709,57,12
428,5/23/20,Expense,Save short explain couple whatever available run.,193,4,15
429,10/18/21,Commission,Inside member leave chair film deal western home.,513,58,15
430,3/25/22,Commission,Firm argue stock forward.,235,38,8
431,3/30/20,Commission,Effort lose big music.,880,13,1
432,2022-11-04,Revenue,,39,27,8
433,9/20/21,Commission,Summer knowledge notice more position that.,989,27,11
434,2021-09-12,Commission,,238,63,2
435,6/24/21,Commission,Fine amount fish design range occur painting.,431,22,18
436,1/21/21,Revenue,,94,6,19
437,2021-12-04,Expense,,666,5,18
438,8/18/22,Expense,Gas PM lawyer writer adult.,27,46,16
439,2/22/21,Commission,Child onto analysis begin fire.,549,71,2
440,10/21/20,Commission,,311,94,5
441,3/22/21,Revenue,,441,61,11
442,10/21/22,Commission,Suggest represent all involve agree left.,618,38,10
443,7/22/21,Revenue,Either brother against point growth.,8,54,6
444,8/17/20,Commission,Of baby toward speak seven kind.,158,63,11
445,2021-09-08,Commission,Season wonder sea enter.,336,74,5
446,2021-07-08,Commission,Around society but professional.,373,86,19
447,2020-03-07,Expense,Resource even sport project opportunity to certainly wear.,227,24,4
448,2020-12-01,Expense,,333,96,12
449,2021-06-05,Expense,,87,23,19
450,6/17/22,Commission,,956,78,20
451,2022-04-04,Commission,,817,36,16
452,1/20/21,Commission,,151,69,6
453,7/30/21,Commission,,9,23,13
454,6/22/21,Commission,,883,10,16
455,11/23/20,Expense,From necessary news series.,295,75,19
456,9/15/20,Commission,And probably spend those.,591,76,16
457,2022-03-11,Commission,Security recently commercial card.,597,91,8
458,8/30/22,Revenue,,989,71,20
459,2020-10-11,Expense,Article which party stock main including former.,597,25,3
460,10/25/21,Expense,Rise easy increase manager.,239,69,19
461,6/27/20,Commission,Home receive class manager.,511,70,8
462,11/15/22,Revenue,,629,38,18
463,2020-07-09,Expense,,336,59,4
464,9/23/21,Revenue,Wall research hear should.,402,82,6
465,2/25/21,Revenue,Start long community full student statement daughter.,584,85,4
466,11/30/21,Commission,,486,2,18
467,7/22/20,Commission,,875,42,2
468,2022-06-01,Commission,,887,8,10
469,5/30/20,Commission,,323,61,6
470,2021-09-04,Revenue,,473,68,2
471,2021-09-09,Commission,Bring theory decide knowledge prove.,113,78,17
472,2021-04-02,Revenue,,967,82,10
473,8/23/21,Commission,,935,87,2
474,12/27/20,Revenue,,677,29,7
475,2022-01-06,Commission,Other get budget.,968,97,1
476,5/20/22,Revenue,,639,66,4
477,12/28/21,Revenue,Big study eat dog thousand choice offer.,109,10,16
478,2021-01-07,Revenue,Thought bank card actually American son opportunity.,274,72,10
479,2020-08-09,Revenue,,600,74,18
480,2020-10-08,Revenue,,727,24,14
481,3/30/21,Revenue,Film attack card billion.,85,95,7
482,2021-12-07,Revenue,,144,69,12
483,2022-01-02,Commission,Rich place little plant amount.,61,89,9
484,2020-06-07,Commission,,486,21,10
485,5/16/22,Commission,,774,90,14
486,10/26/21,Expense,Poor term answer throw.,612,97,6
487,3/24/22,Revenue,,167,46,8
488,12/19/21,Expense,Sport prove capital area outside best.,219,20,15
489,12/22/20,Commission,,485,54,14
490,11/21/21,Revenue,Step particular for Congress glass knowledge.,670,16,4
491,4/21/21,Revenue,,252,82,16
492,2021-06-02,Commission,,661,30,15
493,2022-05-07,Commission,,715,15,19
494,2021-11-03,Expense,Girl wish reality onto sport.,913,12,14
495,8/25/21,Commission,,70,63,10
496,10/19/20,Commission,,841,94,3
497,5/24/21,Revenue,,915,79,9
498,2020-01-06,Expense,Reach back international recent information ok.,193,41,8
499,2021-03-01,Commission,Assume voice play customer.,173,78,20
500,9/21/21,Expense,,745,16,12
501,2022-01-03,Expense,Relate above tough everybody fire.,734,59,17
502,9/22/22,Revenue,,506,20,16
