recordid,date,type,notes,transactionid,employeeid,officeid
503,4/13/21,Commission,Increase could stand nation employee material.,520,33,9
504,2020-06-08,Revenue,,608,22,14
505,2020-02-10,Revenue,Maintain skill customer it situation general though easy.,7,98,13
506,12/15/21,Expense,,379,5,3
507,2022-07-11,Expense,,929,14,12
508,10/14/20,Revenue,,151,59,16
509,8/22/22,Revenue,,66,40,20
510,2022-08-08,Revenue,Then do involve individual.,110,39,1
511,8/30/21,Commission,Writer say yeah media defense.,832,62,15
512,7/28/21,Commission,,778,2,4
513,2020-12-07,Expense,Arrive front say large size.,564,52,18
514,2/13/21,Revenue,,316,11,17
515,2021-04-11,Expense,,456,34,1
516,1/18/22,Expense,,618,75,8
517,2020-11-05,Commission,Sure mother speak meet might.,250,47,16
518,2021-04-06,Expense,Whom think move tax economy.,841,29,20
519,2021-02-03,Expense,,12,77,20
520,5/31/20,Commission,,95,96,6
521,2021-06-10,Commission,Doctor analysis practice sit.,581,57,5
522,6/20/22,Commission,,581,78,4
523,2022-02-03,Expense,,910,82,18
524,2/22/22,Revenue,Sister measure hospital lead where.,823,91,16
525,8/26/20,Commission,,328,39,2
526,4/25/21,Commission,,434,93,14
527,2021-10-08,Expense,,985,98,1
528,10/18/22,Commission,Job develop husband wear everyone forget.,521,34,6
529,2/26/21,Expense,,833,44,16
530,12/18/20,Commission,,849,59,5
531,9/17/21,Expense,Nature always else explain visit focus tell.,386,79,13
532,6/28/20,Commission,Cover lead someone trial smile decade.,199,97,1
533,9/14/22,Commission,Message particularly paper building evening.,785,39,15
534,1/20/20,Revenue,,21,17,6
535,5/19/22,Expense,Really table worker.,846,35,14
536,2020-12-08,Expense,,844,4,4
537,2021-06-12,Revenue,Collection several million draw.,492,19,2
538,2021-06-03,Revenue,Building number health over game music.,163,9,11
539,2021-09-01,Revenue,So put general.,472,19,12
540,2022-10-08,Commission,Practice less president free.,467,100,3
541,7/16/21,Expense,Safe responsibility focus industry site idea.,620,95,10
542,2/28/20,Expense,Free husband both benefit.,235,86,17
543,2021-11-06,Commission,,937,73,20
544,6/30/21,Expense,,42,30,5
545,11/24/22,Revenue,Democratic blue discover various fight.,653,27,15
546,9/26/21,Commission,,361,43,4
547,2021-10-05,Commission,Institution measure wife another first test meeting.,337,20,17
548,8/13/21,Expense,Staff hold deep light.,785,60,18
549,2/15/21,Expense,Research yourself author recognize.,860,72,5
550,11/16/21,Revenue,Stuff reason difficult provide sell hour people.,629,75,7
551,2022-01-07,Commission,,425,45,19
552,2020-11-11,Revenue,Local discussion safe yourself.,727,18,14
553,4/26/22,Revenue,,397,68,1
554,10/30/20,Expense,,908,15,8
555,3/27/21,Expense,,18,23,16
556,9/25/20,Revenue,Yes black seem trouble its drop.,282,88,10
557,10/20/21,Expense,,359,28,15
558,1/18/21,Revenue,,523,60,15
559,3/22/22,Commission,Think might choice area begin choose.,584,14,13
560,7/28/22,Commission,List check wall blood if lot.,681,56,1
561,2021-03-07,Commission,,391,69,19
562,6/25/20,Commission,,748,9,9
563,9/22/20,Commission,Loss official bank money group traditional.,754,18,11
564,5/21/21,Commission,,221,23,17
565,10/19/22,Expense,,260,56,6
566,1/26/21,Commission,Western here brother cut later huge leg.,23,55,10
567,9/29/21,Expense,,493,65,17
568,2020-02-11,Expense,,820,59,10
569,6/14/21,Commission,Choose young audience hand.,586,37,19
570,3/15/21,Revenue,,386,55,10
571,2022-01-08,Revenue,,752,11,8
572,2021-10-11,Revenue,Very political table husband individual late.,331,52,14
573,2021-12-12,Commission,,596,75,20
574,2021-08-02,Revenue,Avoid off provide effect.,674,75,7
575,8/19/21,Revenue,Artist field economic dream mission especially.,777,70,7
576,2020-01-09,Revenue,,5,23,1
577,2022-03-01,Expense,Try capital doctor give.,219,91,3
578,12/13/21,Commission,Operation medical social animal public.,273,24,14
579,2020-09-06,Expense,,563,18,9
580,2022-08-06,Commission,Less actually protect.,369,62,1
581,2022-03-02,Commission,,292,8,5
582,2020-12-05,Revenue,,309,30,6
583,7/30/20,Commission,,983,66,8
584,4/26/21,Revenue,,908,71,6
585,1/30/20,Revenue,,285,54,10
586,2020-05-08,Revenue,President indicate city record.,825,62,6
587,2022-03-05,Commission,,200,8,6
588,3/29/21,Commission,Bit every or doctor style.,460,59,5
589,2021-11-10,Commission,Teach heart somebody apply.,909,85,13
590,2/24/21,Commission,Home rule me through factor message north its.,818,53,7
591,11/29/21,Expense,,76,97,19
592,7/17/20,Revenue,Up cultural range.,718,100,18
593,2022-09-09,Revenue,Anyone stock be front six business.,415,6,4
594,2022-11-01,Expense,President action catch face us really.,752,69,16
595,2020-09-11,Expense,Executive discover line film send conference south.,997,51,7
596,9/28/20,Commission,,411,36,6
597,2021-10-09,Expense,Collection can save technology amount.,423,69,19
598,2021-05-08,Expense,,13,4,14
599,7/25/22,Expense,,770,94,11
600,6/17/20,Revenue,,674,62,15
601,12/18/21,Revenue,,754,33,18
602,2021-06-07,Expense,,804,5,14
603,3/17/20,Revenue,,605,27,11
604,5/18/21,Commission,Perform sign agreement until fine.,74,25,14
605,6/22/22,Commission,Sea lawyer toward either economy.,422,64,13
606,9/22/21,Expense,Total same political increase ok.,268,95,7
607,9/14/22,Expense,May call although themselves I.,968,35,16
608,1/17/20,Expense,Ground answer type mission military.,306,82,6
609,2021-03-12,Revenue,,826,42,9
610,3/19/21,Commission,Leg people view.,100,85,3
611,4/28/22,Revenue,,978,55,20
612,2022-01-06,Commission,Safe memory everybody argue read.,36,40,20
613,11/15/20,Commission,,114,100,9
614,2021-05-02,Expense,Star wind own.,340,43,19
615,6/15/20,Commission,,765,2,20
616,10/13/21,Expense,Kind difficult trouble think.,201,20,4
617,9/28/22,Expense,Arm perform a you agreement head.,173,94,17
618,8/28/20,Revenue,Attention wear necessary option show story store.,559,15,1
619,2021-04-04,Expense,,502,87,15
620,8/29/22,Commission,,432,41,15
621,3/15/22,Revenue,,500,41,17
622,2021-02-08,Revenue,,666,46,8
623,1/15/20,Commission,Both newspaper result space as western.,328,18,6
624,2021-06-01,Revenue,,838,23,10
625,2020-04-02,Revenue,,89,5,14
626,10/22/22,Revenue,,559,78,3
627,2021-11-11,Expense,Central set show American mission sport capital.,835,43,9
628,2022-05-02,Revenue,City reality must.,852,65,4
629,7/17/21,Expense,,497,27,18
630,11/21/20,Revenue,,30,85,8
631,2021-07-04,Commission,,912,7,11
632,3/23/21,Expense,Get feeling yeah whatever.,816,88,1
633,2022-04-01,Revenue,Recent certain by quite relationship network.,743,3,10
634,2/16/20,Expense,,279,67,17
635,4/30/22,Commission,Same beautiful trouble boy large.,932,15,12
636,2020-12-09,Expense,Best food significant agency drive picture.,952,34,13
637,9/14/21,Revenue,,18,84,18
638,5/14/20,Expense,Capital describe others cell remain exist.,263,71,8
639,3/13/20,Revenue,,63,21,7
640,3/23/22,Expense,,755,24,2
641,10/15/20,Commission,Put low product collection radio.,422,61,1
642,8/18/22,Commission,Business law tough something.,750,59,10
643,10/27/21,Commission,,124,39,19
644,7/23/21,Revenue,,847,11,4
645,6/18/20,Expense,,778,86,5
646,11/21/22,Expense,Big successful too business stuff no network foot.,566,75,13
647,2021-09-06,Revenue,Congress continue friend learn.,150,17,12
648,7/13/22,Expense,Hard standard mother north weight ground.,226,83,17
649,11/23/20,Revenue,,485,51,9
650,12/17/21,Commission,,634,86,13
651,6/21/22,Commission,,45,52,18
652,8/28/21,Commission,Note full phone magazine.,557,20,13
653,2020-03-09,Commission,,173,89,20
654,7/27/20,Expense,,258,72,15
655,2022-04-05,Revenue,Camera receive positive morning family must.,367,84,19
656,2020-11-07,Commission,Worker case support direction.,316,89,3
657,2022-08-04,Revenue,Part station debate one news win reason.,302,23,1
658,9/30/20,Expense,,807,8,10
659,4/14/21,Revenue,Suddenly teacher total international already movie.,220,91,6
660,2022-11-10,Revenue,Want minute would.,422,72,2
661,2021-08-11,Revenue,Nearly maintain matter manager opportunity everything.,231,97,14
662,9/13/22,Expense,,760,74,9
663,2020-01-10,Revenue,,761,45,11
664,2021-02-27,Commission,Allow southern can ten enter.,766,85,12
665,6/17/21,Revenue,Leave treat her admit.,782,27,17
666,6/30/21,Revenue,,901,3,3
667,9/21/22,Commission,,772,70,7
668,2021-07-05,Revenue,,214,21,2
669,5/25/22,Revenue,Cultural professor nor if often why tend brother.,899,37,3
670,8/25/20,Revenue,,265,30,2
671,2020-06-03,Expense,Amount contain week bag image.,904,86,2
672,1/20/21,Commission,,548,73,1
673,2021-07-12,Revenue,Event direction try end and.,360,39,13
674,4/20/22,Revenue,,537,83,16
675,2020-06-12,Commission,Eye tax since test happen picture sort cell.,498,94,2
676,3/14/21,Commission,Reason raise partner help sea.,592,35,9
677,6/20/20,Expense,Article him item.,210,76,15
678,8/31/22,Commission,,496,78,17
679,8/13/21,Expense,Class great listen one argue water five.,729,91,18
680,2021-04-03,Expense,Bad piece style who describe item well.,889,99,16
681,1/19/22,Expense,,582,48,2
682,8/18/20,Commission,Large perform option first man voice sound.,123,26,5
683,7/21/21,Commission,Value argue itself meeting although next.,685,1,18
684,3/14/22,Revenue,,905,66,10
685,9/13/21,Expense,,314,97,13
686,1/28/20,Commission,,472,30,20
687,6/17/21,Expense,Right decade teacher career.,372,10,14
688,2022-05-05,Revenue,,927,88,17
689,4/26/22,Revenue,Hundred method study believe against large.,447,39,3
690,2/27/20,Expense,Unit executive among.,197,82,10
691,2022-09-06,Revenue,,250,83,20
692,2022-09-03,Commission,,801,45,19
693,2020-12-04,Commission,,215,36,10
694,5/28/20,Commission,,58,5,9
695,10/28/21,Commission,,873,96,8
696,5/13/21,Revenue,Lay doctor figure glass box view admit.,586,26,12
697,2022-07-07,Commission,,133,48,7
698,7/27/21,Revenue,Hundred moment teacher.,989,79,19
699,3/25/20,Revenue,,409,32,13
700,2021-07-09,Commission,Scientist image onto through what as.,435,65,7
701,2/18/22,Expense,Small maybe blood scientist law city.,354,28,10
702,2020-09-07,Revenue,,216,75,6
703,2020-02-09,Expense,Tend laugh include eat.,626,56,10
704,11/29/21,Expense,Radio board dream never few exactly book.,74,22,5
705,1/29/21,Revenue,Whose gun how.,353,48,3
706,9/15/22,Commission,,917,12,6
707,7/24/20,Commission,Single include type perform too.,607,5,20
708,11/18/20,Revenue,,986,42,8
709,4/18/21,Revenue,Material rule fly budget Mrs.,115,45,7
710,7/13/21,Commission,Behavior power edge point south process he.,65,70,14
711,3/29/22,Expense,,501,33,3
712,8/23/20,Revenue,Trade assume house purpose tonight catch.,399,19,8
713,2021-01-03,Revenue,Score table admit return ready benefit eight.,906,69,12
714,2/18/20,Revenue,,352,97,10
715,1/20/22,Revenue,Black us investment business.,73,33,1
716,6/14/20,Revenue,Theory mind attorney energy quickly morning position.,643,39,6
717,8/14/21,Commission,,126,64,18
718,2021-01-04,Expense,,324,96,13
719,3/30/22,Expense,Morning today another condition piece catch possible.,541,75,9
720,2020-06-09,Commission,Discuss tell science care growth.,398,12,16
721,2021-05-02,Revenue,Office outside with hair I job enough.,271,67,4
722,2021-04-01,Commission,Perform deal few participant owner professional last.,649,6,15
723,2020-11-06,Commission,Quite return southern.,167,26,13
724,2021-08-05,Expense,,177,24,18
725,2021-01-10,Revenue,Continue early drop plan.,2,63,1
726,5/27/22,Commission,Beyond recent at teacher so inside minute prepare.,163,52,7
727,11/25/20,Commission,Third star senior source.,886,89,13
728,7/29/22,Expense,,579,64,12
729,12/29/21,Expense,,171,99,11
730,9/26/20,Commission,Stock true whether anyone class.,203,62,14
731,8/15/20,Revenue,,55,17,3
732,8/29/22,Revenue,,350,32,10
733,2021-03-05,Expense,During occur employee perhaps.,584,14,17
734,6/19/21,Expense,,180,28,18
735,2022-02-11,Commission,,332,2,16
736,9/24/21,Revenue,Article apply try themselves economic modern miss.,712,82,19
737,2020-04-12,Commission,,124,99,8
738,10/26/22,Commission,Apply anyone along likely and affect election.,989,44,18
739,2021-05-03,Commission,Successful wide tough where stuff positive.,168,86,12
740,2020-12-02,Revenue,Boy form herself focus.,991,58,16
741,2022-09-09,Revenue,Value be red network.,57,12,19
742,7/15/21,Revenue,,995,19,9
743,7/21/20,Revenue,,480,2,7
744,1/17/22,Revenue,,566,30,12
745,11/22/20,Commission,Me relationship against movie forward.,282,74,14
746,12/26/21,Commission,Oil card forget.,559,12,10
747,8/31/21,Revenue,,631,97,1
748,2020-03-01,Expense,,754,63,9
749,5/23/22,Revenue,Speak another together pick.,365,73,15
750,9/27/21,Revenue,,317,89,16
751,2021-07-04,Revenue,,470,62,2
752,2022-12-04,Commission,,921,58,2
753,2/18/21,Commission,,60,34,4
754,8/14/21,Revenue,,263,99,13
755,2022-03-11,Expense,,979,65,8
756,3/16/20,Expense,,779,78,14
757,6/26/21,Revenue,,612,26,9
758,2021-12-10,Revenue,But nearly page ball still add quite.,111,61,19
759,2020-10-02,Revenue,,908,15,9
760,1/21/20,Commission,Cut mind sort color tend type.,151,11,13
761,2022-10-06,Commission,,310,21,10
762,12/29/20,Commission,Three its guy across.,263,31,4
763,4/19/21,Commission,,391,34,15
764,3/13/22,Revenue,,800,5,13
765,5/24/22,Revenue,,254,24,7
766,11/19/21,Revenue,Go for large career yard white four.,622,33,19
767,2020-11-10,Revenue,Beautiful up way two right.,144,14,14
768,9/24/20,Revenue,,198,97,5
769,3/18/21,Expense,,682,98,15
770,7/15/22,Commission,,309,78,17
771,1/30/21,Expense,Community change recent improve Republican to.,660,49,14
772,7/26/20,Expense,,411,95,8
773,2021-10-07,Revenue,,341,80,9
774,4/27/20,Expense,Suggest continue family shake dinner.,569,97,12
775,10/20/20,Revenue,Any political answer enter mention laugh high.,860,56,8
776,2021-09-02,Revenue,,804,65,18
777,3/29/20,Expense,Election doctor heavy whatever figure before.,898,47,12
778,9/25/21,Revenue,Painting fact month leave young space company foot.,967,22,7
779,6/19/20,Revenue,,714,76,11
780,5/28/21,Expense,,132,33,4
781,2022-08-11,Revenue,,453,53,16
782,2021-02-07,Expense,Air western employee continue.,719,66,3
783,8/24/20,Commission,,569,43,3
784,8/22/20,Expense,,332,53,20
785,8/25/22,Expense,,692,82,7
786,6/28/22,Revenue,Center behavior technology participant avoid us everyone.,412,42,12
787,2021-05-04,Commission,,717,10,13
788,7/15/20,Expense,Meet difference various stage.,665,84,10
789,7/25/20,Expense,Production information win happy reality Republican affect.,737,20,14
790,4/24/22,Revenue,,617,74,8
791,2/28/21,Revenue,,789,48,18
792,2021-03-06,Expense,,11,10,18
793,2022-12-03,Expense,Explain effect pass behind fact ever factor.,587,47,6
794,2022-01-05,Commission,,814,13,20
795,2020-08-06,Commission,Large rest fine above usually miss rich.,526,17,13
796,3/31/21,Revenue,Number with whether wonder vote again home reduce.,304,77,11
797,2021-11-08,Commission,,372,65,19
798,1/15/22,Revenue,Technology young also prepare.,198,12,10
799,9/30/21,Expense,,588,72,2
800,2022-03-07,Expense,Guy local arrive outside turn very how.,813,48,1
801,7/16/21,Revenue,Nor difference movement strategy enter.,775,25,18
802,10/24/20,Revenue,,46,14,7
803,2020-02-08,Revenue,Always wrong detail treat yard.,349,19,15
804,12/22/21,Revenue,,870,63,6
805,2021-10-05,Revenue,Low role woman girl him.,691,77,20
806,2022-01-11,Commission,,358,82,20
807,12/26/20,Revenue,,460,49,5
808,11/24/21,Revenue,,355,37,7
809,5/15/20,Revenue,Cost represent life when pressure.,869,14,2
810,2022-01-09,Commission,,978,90,2
811,3/17/22,Expense,,253,50,9
812,2021-06-09,Expense,,421,63,13
813,3/23/20,Expense,Same attorney this any later explain.,130,35,11
814,2/15/22,Commission,Particularly bag administration work.,505,75,12
815,4/29/20,Revenue,Some which better participant operation.,374,55,11
816,5/14/22,Expense,Environment should thank rather night.,726,91,2
817,2/16/21,Expense,,720,47,8
818,9/14/20,Commission,,223,20,7
819,2021-03-03,Revenue,,627,96,19
820,2020-09-10,Expense,,923,13,12
821,8/24/22,Expense,Mention couple happy look sell like.,813,99,15
822,2021-11-02,Expense,,977,63,18
823,6/22/22,Expense,Left phone provide language.,207,92,7
824,2021-05-10,Commission,Spend final arrive.,961,13,8
825,2/19/20,Commission,,688,72,6
826,2021-03-11,Commission,,1000,18,11
827,2022-08-03,Expense,Eat pretty less there reduce.,254,82,5
828,7/26/21,Revenue,,295,83,4
829,2/23/20,Expense,Newspaper help two.,558,11,18
830,1/25/20,Revenue,,856,47,5
831,2021-05-05,Revenue,,221,56,7
832,2020-10-06,Commission,,877,47,1
833,2022-07-04,Revenue,,139,61,18
834,4/20/21,Revenue,,914,95,11
835,10/27/21,Commission,History run share space discover bit.,915,41,13
836,2020-12-11,Revenue,,873,37,15
837,7/13/20,Expense,Big decade exactly yet.,790,5,20
838,2021-08-12,Commission,,298,42,6
839,6/28/21,Commission,Good image firm history window.,241,15,8
840,2020-04-08,Revenue,,558,82,18
841,1/27/21,Expense,This fine trade her.,501,9,10
842,2022-04-10,Expense,,630,47,10
843,2021-03-02,Revenue,,739,28,20
844,2021-08-09,Expense,,172,23,20
845,12/14/20,Commission,Everyone mention sure person dark very then two.,494,82,12
846,8/15/22,Revenue,,123,20,4
847,12/14/21,Expense,,815,39,8
848,2020-09-09,Revenue,Bad suffer civil have he all.,658,30,8
849,7/18/22,Expense,,105,47,18
850,12/30/20,Commission,Cost develop several enter group make participant.,738,77,11
851,2021-03-08,Expense,,970,72,14
852,4/22/21,Commission,Arm feel especially goal chance military believe.,889,28,14
853,7/19/21,Commission,Expect environment push partner.,995,1,13
854,2/22/22,Revenue,Main cell reality brother question specific game me.,805,60,10
855,2022-07-01,Expense,,675,55,12
856,11/20/20,Commission,,109,70,18
857,2020-07-10,Commission,Why I soldier cup short his.,173,57,14
858,2021-07-10,Revenue,,510,69,4
859,2020-10-09,Commission,,257,38,16
860,3/29/21,Expense,Piece budget write seven director full sister eat.,814,67,1
861,2021-08-07,Commission,,671,37,16
862,8/21/20,Expense,,297,36,18
863,2021-02-11,Expense,Billion few store hot environmental Democrat.,852,1,12
864,6/20/21,Expense,,770,52,8
865,2022-07-03,Revenue,,115,53,19
866,2021-10-04,Expense,,659,32,3
867,10/28/20,Commission,Life travel key test station office.,743,34,5
868,2022-06-09,Commission,Never fall trouble should.,852,39,13
869,2020-04-05,Commission,Study why seat magazine.,928,75,2
870,1/25/22,Revenue,Wind forget allow.,600,83,14
871,2021-07-06,Revenue,Than low guy garden would require.,878,44,15
872,4/27/22,Expense,,56,22,16
873,2/21/20,Commission,,615,28,9
874,7/29/22,Revenue,,127,79,5
875,9/15/21,Expense,,417,80,20
876,6/26/20,Revenue,International themselves upon.,627,88,10
877,2/16/21,Revenue,,903,45,15
878,1/18/20,Expense,,545,4,12
879,5/17/21,Expense,,480,54,14
880,2021-01-08,Revenue,Man happy season help.,747,95,14
881,11/28/22,Expense,Wind wife lead blue culture improve sport.,44,66,6
882,5/18/22,Expense,Space order plan research support.,506,67,14
883,2021-04-10,Expense,Street different improve note training civil.,684,14,15
884,2021-12-01,Expense,Add effort movie husband design happen.,580,32,12
885,2020-10-07,Revenue,,199,54,3
886,6/29/22,Revenue,,868,48,12
887,2022-06-10,Revenue,Safe whose enough rock to.,867,50,5
888,2021-06-12,Expense,,147,69,17
889,5/18/20,Commission,Real good billion yourself similar.,6,2,17
890,3/31/22,Expense,Rate able test day herself production themselves.,692,43,12
891,8/16/20,Expense,,98,4,17
892,3/26/21,Commission,Identify model lead carry explain without break.,640,47,18
893,2022-02-08,Revenue,,915,77,19
894,2021-08-04,Expense,,665,54,8
895,2022-11-01,Expense,Always point have every give trial.,936,28,20
896,12/23/20,Commission,Scientist throw trade everybody keep factor parent.,503,79,15
897,4/13/22,Expense,Sea these official gas gun store.,585,37,20
898,2021-09-07,Expense,,960,84,15
899,7/29/20,Commission,Interview evening explain grow in range.,599,44,8
900,9/20/22,Commission,,84,99,2
901,2/26/20,Commission,Stand human require college.,748,31,4
902,11/30/21,Commission,Human long laugh appear player wear.,492,1,18
903,2/19/22,Commission,Agency structure area study probably agree current.,449,19,15
904,6/25/21,Commission,Election ability ground style.,361,55,17
905,2020-06-10,Expense,Which really garden space right situation information.,825,6,4
906,11/17/20,Commission,Language commercial common week simply.,188,38,15
907,3/17/21,Expense,,699,87,12
908,2/27/21,Commission,Military day during rate her claim.,588,52,10
909,10/19/22,Commission,,808,56,13
910,8/27/21,Revenue,Every when early there respond family girl skin.,716,68,5
911,2021-10-02,Expense,Main voice consumer middle many investment.,906,53,5
912,2021-04-05,Expense,World discussion action cover near.,291,29,18
913,2020-09-01,Revenue,Hotel reach present size.,690,92,1
914,3/24/22,Revenue,Order your back act program better.,189,37,19
915,1/22/21,Revenue,Group someone north before door condition central.,515,53,14
916,9/24/21,Expense,Health lawyer their likely economy happen.,631,95,2
917,2020-11-08,Commission,Statement may degree security husband month.,661,56,11
918,5/25/22,Revenue,Understand beautiful because tonight.,850,13,11
919,6/23/22,Revenue,,533,40,3
920,2021-06-08,Revenue,,405,88,11
921,2020-08-12,Revenue,Enter street by ready.,341,61,3
922,10/27/21,Revenue,,159,28,11
923,2020-11-07,Expense,There star understand back plant up.,469,36,13
924,7/22/21,Revenue,,441,51,13
925,3/15/21,Commission,,609,8,11
926,9/16/20,Revenue,,493,13,11
927,2022-11-08,Commission,Pay hear get apply story information perform age.,685,37,11
928,2022-03-01,Revenue,,851,92,17
929,1/21/21,Commission,Agency sit rock particularly if message away.,668,97,20
930,12/14/21,Commission,Into such similar start serious inside.,644,25,12
931,2/22/20,Revenue,List however usually Mr.,260,94,4
932,4/20/22,Expense,,370,35,8
933,5/25/20,Commission,,436,9,3
934,2020-03-08,Expense,Environmental half condition laugh.,164,74,13
935,5/19/21,Expense,Positive modern executive produce want.,898,78,18
936,2/16/22,Revenue,Minute development political language itself.,733,75,10
937,4/28/21,Revenue,Discuss lawyer play several by detail apply.,532,49,7
938,9/27/22,Revenue,,952,10,15
939,11/26/21,Commission,Source treat car reach on appear.,462,62,15
940,2021-03-06,Revenue,Conference thus those really fact after.,950,56,17
941,2022-09-11,Expense,,594,63,1
942,6/22/20,Commission,,613,20,20
943,7/20/22,Revenue,Loss college raise late.,935,37,14
944,2020-05-11,Revenue,,945,40,6
945,10/23/20,Commission,Method institution professor decade perform particular worry.,20,21,20
946,10/22/21,Revenue,Name avoid most letter ability school.,458,94,13
947,2021-10-03,Commission,,852,10,2
948,1/20/22,Expense,Spend learn nation down how natural size.,974,63,10
949,2020-11-12,Expense,Think state figure him more without use.,372,93,16
950,9/22/21,Expense,Friend tonight else prepare type oil good accept.,163,40,14
951,4/15/22,Revenue,,54,13,19
952,7/20/20,Expense,,10,82,11
953,2021-08-02,Revenue,Stage increase full let probably tree.,867,35,11
954,2022-05-10,Expense,,980,73,10
955,7/13/21,Expense,Language participant start sound probably third.,155,23,16
956,2020-12-03,Commission,Edge responsibility agree design ok measure.,75,82,19
957,6/16/21,Expense,Computer turn stay should area glass almost significant.,616,78,4
958,2022-01-03,Commission,Tell like two how rate live wear.,47,29,7
959,7/28/22,Commission,Build argue structure catch near environment drop.,330,32,10
960,2020-12-06,Revenue,Resource company protect section.,395,19,2
961,4/13/21,Revenue,,711,69,9
962,8/31/21,Expense,,286,70,2
963,9/23/20,Expense,Everything similar question raise enough.,497,32,6
964,1/26/21,Revenue,,767,40,18
965,2022-03-08,Revenue,,989,82,4
966,11/19/20,Revenue,,888,33,3
967,12/16/21,Revenue,Go term since real which dream impact health.,800,70,2
968,2021-02-04,Revenue,,215,10,6
969,11/17/22,Revenue,Offer continue join risk.,908,84,16
970,2/23/21,Revenue,Wonder nearly job.,137,35,10
971,2020-11-09,Expense,Fill after whole attention me.,588,31,14
972,2021-05-11,Expense,,583,98,12
973,6/22/21,Commission,Behind stage clearly long matter table fund.,193,42,4
974,2/15/20,Expense,,562,24,2
975,2021-06-10,Commission,,548,27,5
976,3/15/22,Revenue,,45,50,7
977,2021-04-03,Revenue,,78,62,5
978,6/29/20,Commission,,14,28,5
979,2/17/21,Expense,,354,81,20
980,1/23/20,Commission,Politics gun particularly almost arrive.,189,85,14
981,1/27/22,Revenue,Start painting certainly its center news perhaps.,130,78,20
982,2022-06-07,Expense,,559,11,16
983,2021-11-05,Commission,,438,69,12
984,4/25/22,Expense,,866,27,11
985,7/14/21,Revenue,Floor value range course unit lot.,151,78,10
986,9/15/22,Revenue,,304,65,10
987,7/13/20,Commission,,124,5,7
988,8/20/20,Revenue,,375,65,10
989,2022-12-10,Commission,,186,8,19
990,8/15/22,Commission,Pressure attorney second.,923,93,2
991,9/21/20,Revenue,,104,84,19
992,3/29/21,Expense,Population good important possible performance couple break.,710,13,8
993,1/27/21,Commission,Day still floor mean than ready no.,666,68,19
994,9/28/21,Revenue,,454,76,8
995,4/22/21,Expense,Maintain art to.,299,54,18
996,10/29/20,Expense,Eye notice since attention.,597,42,13
997,5/26/22,Commission,Maintain learn themselves own ready.,506,3,16
998,11/24/21,Commission,Top resource daughter find.,577,73,16
999,7/22/20,Revenue,Citizen chance camera note street trade.,390,99,11
1000,2020-04-11,Commission,,351,32,11