campaign_name,campaign_type,start_date,end_date,budget,target_audience
Suburban Dream Homes Showcase,Print Media Spotlight,8/18/22,9/29/22,30114.59,Rental Seekers
Winter Property Gala,Online Advertising,7/4/23,9/3/23,23172.63,Commercial Clients
Eco-Friendly Homes Summit,Social Media Blast,3/24/21,4/29/21,7920.15,First-Time Homebuyers
Luxury Living Fair,Television Campaign,2/22/21,5/21/21,16426.19,Property Investors
Suburban Dream Homes Showcase,Email Marketing Drive,9/7/24,11/26/24,16109.42,First-Time Homebuyers
Investor Real Estate Conference,Social Media Blast,9/18/22,11/8/22,36333.69,Young Families
Fall Home Extravaganza,Television Campaign,9/23/22,11/19/22,37052.18,Young Families
Suburban Dream Homes Showcase,Outdoor Advertising,4/26/22,5/27/22,11663.91,Eco-Conscious Buyers
Eco-Friendly Homes Summit,Outdoor Advertising,6/24/22,9/3/22,49898.32,Rental Seekers
Luxury Living Fair,Open Houses,12/2/24,2/14/25,17005.15,Rental Seekers
Winter Property Gala,Social Media Blast,9/17/22,12/12/22,48947.67,Luxury Shoppers
Eco-Friendly Homes Summit,Outdoor Advertising,5/13/24,8/3/24,23496.67,Luxury Shoppers
Eco-Friendly Homes Summit,Television Campaign,8/31/22,10/5/22,6487.28,Luxury Shoppers
Fall Home Extravaganza,Open Houses,6/22/21,8/18/21,20528.21,Commercial Clients
Downtown Open House Weekend,Television Campaign,1/30/22,3/28/22,33545.81,Vacation Home Market
Luxury Living Fair,Open Houses,7/8/24,9/19/24,35631.75,Retirees
Summer Realty Fest,Social Media Blast,5/28/21,8/9/21,28892.06,Vacation Home Market
Eco-Friendly Homes Summit,Email Marketing Drive,7/3/24,8/21/24,25150.24,First-Time Homebuyers
Downtown Open House Weekend,Direct Mail Campaign,9/14/21,11/12/21,29880.19,Vacation Home Market
Summer Realty Fest,Referral Program,6/21/22,7/31/22,31671.35,Commercial Clients
Luxury Living Fair,Email Marketing Drive,5/29/21,8/24/21,8638.4,First-Time Homebuyers
Spring Sales Bonanza,Radio Promotion,5/7/23,7/30/23,21634.45,Vacation Home Market
Investor Real Estate Conference,Television Campaign,11/9/23,1/5/24,15897.2,Commercial Clients
Downtown Open House Weekend,Radio Promotion,10/29/21,12/22/21,41141.29,Retirees
Holiday Homes Spectacular,Email Marketing Drive,5/30/24,8/6/24,26163.53,Vacation Home Market
Spring Sales Bonanza,Open Houses,4/2/22,6/3/22,49254.04,Commercial Clients
Investor Real Estate Conference,Referral Program,2/5/24,3/6/24,22947.1,Luxury Shoppers
Fall Home Extravaganza,Referral Program,2/26/24,5/22/24,41739.43,Rental Seekers
Suburban Dream Homes Showcase,Online Advertising,11/25/23,1/20/24,40925.53,Luxury Shoppers
Winter Property Gala,Referral Program,5/3/23,7/28/23,11782.29,Rental Seekers
Holiday Homes Spectacular,Direct Mail Campaign,6/17/24,9/6/24,27868.94,Property Investors
Fall Home Extravaganza,Referral Program,4/2/21,5/14/21,36311.58,Property Investors
Luxury Living Fair,Email Marketing Drive,12/4/22,2/12/23,43626.15,Property Investors
Fall Home Extravaganza,Online Advertising,12/8/22,1/9/23,19668.15,Retirees
Suburban Dream Homes Showcase,Email Marketing Drive,1/9/21,3/18/21,14910.85,Luxury Shoppers
Luxury Living Fair,Email Marketing Drive,10/30/23,12/4/23,37001.73,Rental Seekers
Holiday Homes Spectacular,Print Media Spotlight,7/22/22,8/28/22,41427.55,Commercial Clients
Suburban Dream Homes Showcase,Online Advertising,11/26/21,1/21/22,20689.97,First-Time Homebuyers
Summer Realty Fest,Email Marketing Drive,4/3/21,5/11/21,9327.94,Commercial Clients
Winter Property Gala,Print Media Spotlight,2/8/21,4/15/21,47323.55,First-Time Homebuyers
Holiday Homes Spectacular,Print Media Spotlight,3/3/22,5/4/22,22890.74,Young Families
Summer Realty Fest,Online Advertising,2/3/22,4/24/22,28298.81,Commercial Clients
Investor Real Estate Conference,Radio Promotion,3/7/21,5/17/21,42696.95,Vacation Home Market
Holiday Homes Spectacular,Open Houses,12/14/22,2/25/23,35406.06,Vacation Home Market
Investor Real Estate Conference,Direct Mail Campaign,6/15/22,8/7/22,38084.73,Eco-Conscious Buyers
Luxury Living Fair,Open Houses,7/25/21,9/7/21,14408.22,Luxury Shoppers
Summer Realty Fest,Referral Program,3/4/22,5/31/22,29365.16,First-Time Homebuyers
Winter Property Gala,Direct Mail Campaign,10/3/21,12/25/21,36310.3,First-Time Homebuyers
Suburban Dream Homes Showcase,Referral Program,2/13/23,4/15/23,15284.75,Luxury Shoppers
Eco-Friendly Homes Summit,Email Marketing Drive,5/15/22,7/15/22,12872.97,Retirees