transactionid,homeid,buyerid,sellerid,employeeid,date,amount,transactiontype
501,98,240,510,4,4/8/21,3469727,Sale
502,71,352,904,76,12/25/22,479901,Rent
503,40,401,994,6,2/26/21,3466489,Sale
504,9,203,722,32,12/23/22,1108503,Rent
505,46,768,153,74,6/12/20,4698314,Sale
506,97,729,752,4,12/6/22,1288217,Sale
507,88,388,643,44,5/10/22,258758,Sale
508,33,486,612,92,3/28/21,953345,Rent
509,31,424,780,96,5/16/22,1157881,Sale
510,44,164,569,28,5/14/22,3137520,Rent
511,81,393,664,18,2/6/21,3356025,Sale
512,3,62,441,7,4/26/22,2138060,Sale
513,26,193,204,88,4/20/20,2221822,Sale
514,84,727,994,49,7/14/22,1300926,Sale
515,81,809,88,53,3/17/22,362598,Rent
516,97,401,241,18,7/6/21,1882795,Rent
517,53,736,372,74,3/17/22,1945715,Sale
518,18,333,911,63,12/11/20,3663407,Sale
519,58,356,574,65,7/17/21,696022,Sale
520,9,648,829,69,9/6/21,364491,Sale
521,42,284,104,10,9/21/20,2645536,Sale
522,26,671,72,26,4/20/21,3890662,Sale
523,86,6,598,88,10/27/20,1361200,Rent
524,1,39,91,47,2/12/21,1370030,Rent
525,94,749,764,26,12/23/20,3784011,Rent
526,31,444,162,46,3/18/22,3220471,Sale
527,17,934,191,91,1/16/20,353092,Sale
528,64,668,72,21,6/4/20,1519083,Sale
529,61,603,150,87,6/28/22,3412396,Rent
530,48,582,34,58,11/23/21,2307812,Rent
531,75,284,477,71,10/23/22,2127258,Sale
532,38,997,864,17,6/14/22,2971831,Sale
533,61,912,688,62,3/30/20,3524981,Sale
534,32,846,100,27,11/23/20,945304,Sale
535,98,36,115,88,8/30/22,660877,Sale
536,14,895,142,89,5/21/20,4016376,Sale
537,13,500,813,93,1/15/22,3325634,Sale
538,52,483,371,94,12/23/20,759050,Sale
539,18,959,477,58,2/24/20,1225448,Sale
540,60,433,732,76,12/11/21,1187345,Rent
541,56,247,855,72,12/15/20,1931131,Sale
542,25,739,142,73,3/5/22,2485130,Sale
543,76,809,498,53,5/3/22,932664,Sale
544,79,10,367,31,10/15/21,220469,Rent
545,20,887,129,11,3/26/22,1409546,Rent
546,95,300,413,44,1/1/20,1142443,Sale
547,55,383,191,15,7/4/21,3590936,Sale
548,41,394,93,29,11/22/22,2512738,Sale
549,12,577,585,95,6/16/21,3347778,Sale
550,28,164,217,51,8/21/20,4507615,Sale
551,30,787,357,18,10/22/21,4463772,Sale
552,98,381,641,2,3/7/22,524228,Sale
553,89,319,740,72,12/31/22,4003556,Rent
554,76,406,525,97,11/24/22,4344625,Sale
555,10,888,645,7,1/10/21,728578,Sale
556,21,893,404,52,8/1/21,581915,Sale
557,86,671,196,90,7/20/21,4093841,Sale
558,28,545,801,91,5/12/20,3265712,Sale
559,26,742,515,19,9/5/21,323538,Sale
560,25,577,965,97,2/27/20,3041920,Sale
561,78,310,268,55,7/24/22,3938610,Sale
562,96,659,990,87,8/26/21,3710527,Sale
563,29,386,806,81,4/25/22,1801841,Sale
564,86,502,885,89,5/9/20,4859770,Rent
565,86,640,837,12,11/3/20,3590789,Sale
566,8,728,531,62,1/24/21,3102973,Sale
567,60,37,647,67,3/7/22,2947916,Sale
568,14,10,688,63,11/5/20,3341525,Sale
569,78,993,57,25,5/18/20,2548717,Rent
570,61,172,280,63,7/18/21,4071204,Rent
571,55,462,652,79,1/22/21,2113266,Sale
572,41,386,34,91,3/22/21,3651809,Sale
573,71,913,217,6,12/16/21,367047,Sale
574,74,592,812,39,1/20/20,728738,Rent
575,38,843,468,9,7/13/20,778539,Sale
576,52,763,929,82,9/5/20,3411481,Rent
577,92,886,345,60,12/21/21,3467663,Rent
578,79,7,900,34,5/21/20,2613585,Rent
579,36,698,167,61,6/6/20,719844,Sale
580,23,394,664,71,12/5/22,67325,Sale
581,3,513,829,35,10/25/22,2937187,Sale
582,70,501,806,12,12/19/22,2610949,Sale
583,15,687,883,8,4/19/21,4291253,Sale
584,28,235,991,91,10/31/20,1491802,Sale
585,29,113,259,76,7/4/22,947649,Sale
586,22,425,13,27,4/15/20,3242070,Sale
587,96,138,13,61,2/17/22,1497367,Rent
588,22,753,514,12,8/3/20,3231141,Rent
589,63,323,931,65,10/8/21,4285602,Sale
590,75,260,384,40,3/11/20,3779763,Sale
591,87,51,498,11,9/7/22,3204073,Sale
592,94,98,349,75,6/3/22,4339681,Sale
593,44,172,435,67,9/26/21,2251072,Rent
594,96,500,975,70,9/20/21,79329,Sale
595,45,769,906,52,7/24/22,3660091,Rent
596,7,421,129,19,8/28/21,4465581,Rent
597,29,671,658,4,10/16/20,251934,Rent
598,73,362,54,84,4/3/22,3851555,Sale
599,69,394,523,41,8/12/21,1544681,Sale
600,65,438,922,88,6/13/21,867397,Sale
601,70,753,384,90,11/10/21,4497735,Rent
602,18,260,129,23,1/21/22,2150852,Rent
603,47,611,115,35,5/23/21,2474806,Sale
604,43,888,806,13,7/19/20,128100,Sale
605,28,611,594,29,2/6/22,3388387,Sale
606,92,109,474,63,6/30/22,4726192,Sale
607,83,590,480,46,4/30/21,4687278,Sale
608,91,412,474,52,5/6/21,587031,Sale
609,62,949,77,63,8/24/21,251805,Sale
610,29,783,432,75,3/31/20,411707,Sale
611,32,590,268,23,2/12/21,4143264,Rent
612,53,703,669,33,3/3/22,3599043,Rent
613,71,164,823,30,11/27/21,2198084,Sale
614,21,711,335,96,11/9/20,4562818,Rent
615,45,399,474,57,1/26/21,1291981,Rent
616,31,193,622,63,7/17/21,3655756,Sale
617,96,846,274,50,6/20/20,4052554,Sale
618,59,673,370,31,5/25/21,2003910,Sale
619,93,779,819,74,2/22/21,235965,Sale
620,99,96,570,98,7/8/20,2165842,Sale
621,66,82,829,42,11/18/20,1116503,Sale
622,84,797,274,41,3/21/21,4985963,Rent
623,99,983,511,100,11/17/22,1955110,Rent
624,18,170,413,13,2/18/22,1787968,Sale
625,49,727,669,23,9/12/21,1873490,Rent
626,98,672,72,61,11/26/21,3421296,Sale
627,30,918,922,70,5/20/21,1232740,Sale
628,29,509,883,94,3/1/21,4412670,Sale
629,4,316,812,1,1/17/20,2131440,Sale
630,61,530,373,34,9/10/21,2416736,Rent
631,15,815,922,88,11/24/22,804073,Sale
632,12,697,12,14,7/25/21,2426699,Rent
633,49,161,256,98,10/26/20,525820,Rent
634,94,170,931,9,5/20/20,992902,Sale
635,75,577,688,59,10/20/21,4806719,Rent
636,52,923,892,10,1/18/20,4174692,Sale
637,83,179,504,83,2/8/20,869199,Rent
638,88,843,498,29,11/22/22,2672488,Sale
639,32,908,864,58,10/3/22,4648124,Sale
640,33,749,743,58,10/15/20,1495185,Sale
641,28,47,280,35,3/1/20,3635217,Sale
642,29,223,144,58,3/27/22,997146,Sale
643,87,595,709,37,12/15/21,2132095,Rent
644,15,381,806,68,12/9/20,160607,Sale
645,26,143,86,85,6/16/20,311046,Sale
646,60,603,554,2,1/24/21,3808023,Sale
647,69,132,123,80,6/18/21,2949602,Sale
648,57,215,419,28,7/25/20,3044604,Rent
649,55,400,349,77,6/17/22,2968375,Sale
650,48,18,709,94,3/7/21,4302152,Sale
651,12,188,926,93,6/13/20,4676859,Sale
652,49,535,64,93,1/10/20,3378480,Sale
653,89,205,480,34,1/24/20,1052180,Rent
654,87,478,780,17,1/21/20,3773982,Rent
655,59,180,344,1,2/10/20,2975840,Rent
656,34,923,477,49,4/16/21,1007653,Rent
657,51,439,621,53,1/1/22,2948918,Sale
658,35,919,498,80,4/7/21,2276818,Sale
659,85,270,53,48,11/13/22,3747395,Sale
660,23,96,115,62,6/17/20,1360893,Sale
661,18,333,979,48,6/5/20,1576069,Rent
662,54,918,230,99,6/2/21,1164390,Sale
663,22,380,602,54,11/11/20,2792045,Sale
664,66,397,275,28,4/19/20,70225,Sale
665,68,103,785,100,2/8/21,4470349,Sale
666,38,501,52,94,1/24/20,4773093,Sale
667,71,478,873,20,4/23/20,313732,Rent
668,58,998,699,43,12/29/21,1362042,Sale
669,73,240,477,32,4/29/20,1451821,Rent
670,78,439,964,35,10/24/21,3700538,Sale
671,70,778,191,30,4/27/21,1175405,Sale
672,44,388,637,76,9/17/20,4760315,Sale
673,28,113,419,99,6/25/22,600349,Sale
674,47,673,975,29,3/25/21,4221877,Sale
675,42,987,669,82,12/16/22,1464840,Sale
676,3,533,307,71,1/20/22,200357,Sale
677,43,998,560,26,2/26/20,3340488,Rent
678,58,537,559,77,6/18/20,1856762,Sale
679,35,121,780,54,6/27/22,2136001,Sale
680,96,768,12,75,3/17/22,1414782,Sale
681,57,907,435,72,2/11/22,2716265,Rent
682,4,540,652,65,6/24/20,4290607,Sale
683,37,589,187,8,5/7/21,4676040,Sale
684,19,323,167,24,1/23/21,2538979,Sale
685,46,352,337,32,12/14/20,579721,Rent
686,15,657,986,40,10/14/21,2151958,Sale
687,5,778,324,92,8/10/21,2404212,Sale
688,14,613,301,90,6/3/21,594163,Sale
689,48,59,630,93,7/6/21,852994,Rent
690,63,797,991,59,12/26/20,2655786,Sale
691,21,809,317,38,7/12/22,2799541,Rent
692,57,912,819,31,5/26/22,4847057,Sale
693,49,18,349,95,2/26/21,1809598,Sale
694,27,869,922,96,3/14/21,3270273,Rent
695,63,386,819,74,2/9/21,3606789,Rent
696,61,925,980,100,9/8/21,2549336,Rent
697,64,880,12,40,7/23/20,4909118,Sale
698,71,316,40,1,2/12/21,1488336,Sale
699,28,3,432,55,12/10/21,532119,Rent
700,15,110,529,71,3/27/21,719315,Rent
701,60,154,817,48,5/17/21,4520846,Rent
702,84,7,357,44,12/3/20,4270831,Sale
703,1,215,979,12,4/18/22,3624615,Sale
704,64,19,484,64,1/13/22,1629736,Sale
705,98,867,275,44,12/26/22,520370,Sale
706,66,161,125,29,11/26/20,1770463,Sale
707,28,36,722,28,9/29/21,2806603,Sale
708,19,672,630,56,8/13/21,4444615,Rent
709,12,841,679,35,1/30/22,4654693,Sale
710,15,507,317,86,6/8/22,3367297,Sale
711,84,442,743,14,5/11/21,230517,Sale
712,9,31,482,11,9/7/22,3346893,Rent
713,32,934,474,53,8/8/20,1259992,Sale
714,27,107,964,19,3/14/20,3344873,Sale
715,83,656,884,45,11/6/22,546441,Rent
716,46,486,354,67,3/22/21,3950743,Rent
717,23,648,669,17,3/17/20,3747081,Sale
718,14,993,344,85,4/19/22,3224306,Sale
719,87,106,597,11,11/8/21,176557,Sale
720,96,727,961,29,8/30/20,1960012,Sale
721,82,742,282,17,10/6/21,1404461,Rent
722,40,281,419,80,6/8/21,2042138,Rent
723,15,657,602,62,6/9/21,2184889,Sale
724,74,580,862,97,2/13/20,3019251,Sale
725,71,749,900,17,1/24/21,1695952,Sale
726,4,577,960,33,11/6/22,3806259,Sale
727,67,729,618,70,7/9/22,1492455,Sale
728,43,475,876,74,12/8/21,1614251,Rent
729,65,874,555,47,11/19/21,3621297,Rent
730,67,920,618,87,11/24/20,3670300,Sale
731,7,581,469,60,4/10/20,2416364,Sale
732,23,848,469,29,10/3/21,631452,Sale
733,64,90,280,37,11/15/21,2934279,Sale
734,35,25,927,65,10/26/21,2873699,Sale
735,25,635,13,93,4/3/22,2491270,Sale
736,45,623,910,9,3/5/20,3542959,Sale
737,19,321,619,88,9/17/21,1254306,Sale
738,70,913,960,95,12/23/21,3559143,Rent
739,7,80,884,16,12/9/20,1902802,Sale
740,53,388,745,94,12/17/21,189691,Sale
741,2,714,864,87,11/13/22,3206045,Sale
742,36,58,373,73,11/17/20,1288598,Sale
743,9,854,60,10,5/3/22,1946728,Sale
744,33,276,612,73,7/22/20,2598649,Sale
745,91,696,307,80,4/12/21,679442,Rent
746,3,698,722,97,12/7/20,1033643,Sale
747,55,442,774,23,1/16/20,3627736,Rent
748,42,20,277,26,8/28/22,4407480,Sale
749,40,170,976,96,5/16/21,3097904,Sale
750,31,323,378,76,4/10/20,844297,Sale
751,53,161,468,98,11/28/20,3943596,Sale
752,87,723,477,14,7/11/20,310636,Rent
753,14,815,574,66,10/4/22,2196343,Sale
754,20,526,336,17,8/29/21,3622911,Sale
755,77,895,593,62,6/25/21,4719788,Sale
756,45,697,630,61,7/12/22,4447624,Rent
757,98,502,938,11,1/19/22,134673,Rent
758,4,183,584,37,11/7/22,2093087,Sale
759,81,288,805,72,2/21/20,2374108,Sale
760,51,80,851,15,2/15/21,4200744,Rent
761,7,2,827,99,11/12/22,899108,Rent
762,90,537,956,61,1/17/22,4432920,Rent
763,100,893,201,98,5/15/20,894662,Rent
764,82,656,126,40,10/19/22,262065,Rent
765,35,444,821,57,2/14/21,4222859,Sale
766,64,759,469,95,12/10/20,4236391,Rent
767,38,650,904,99,6/16/22,3984167,Sale
768,60,236,468,21,9/3/22,4917974,Sale
769,27,987,539,27,7/17/20,567187,Sale
770,78,47,201,75,9/26/21,2782984,Sale
771,78,385,474,47,3/4/22,488143,Rent
772,38,682,607,33,2/14/22,4589660,Sale
773,97,36,514,96,4/23/20,4971599,Sale
774,100,580,199,66,7/2/21,3320615,Rent
775,20,297,810,60,2/1/22,3489299,Sale
776,29,923,372,60,8/30/21,2523701,Sale
777,25,874,123,7,9/9/20,1169435,Sale
778,45,353,800,3,2/1/20,3292948,Rent
779,73,205,50,80,9/5/20,1873406,Sale
780,28,749,593,48,6/14/21,4774948,Sale
781,57,998,12,75,12/25/20,4546894,Rent
782,92,993,620,74,10/26/20,2622187,Rent
783,39,143,48,92,4/19/22,4585626,Sale
784,71,533,306,28,3/10/21,3426397,Rent
785,70,110,357,85,2/4/22,3895388,Rent
786,61,568,418,48,3/31/20,818716,Sale
787,72,907,419,91,10/14/20,4890990,Sale
788,78,389,670,23,2/25/20,998444,Sale
789,86,136,484,85,11/5/22,3357996,Sale
790,2,967,54,97,6/11/22,4259432,Rent
791,61,381,76,67,4/23/22,1093697,Sale
792,60,314,123,38,4/10/21,1196382,Sale
793,21,36,710,65,3/8/20,515634,Sale
794,18,130,390,43,8/21/22,1438356,Sale
795,51,353,608,44,8/8/21,755462,Sale
796,24,399,344,98,12/27/21,3394271,Sale
797,81,458,892,79,9/10/20,3494632,Sale
798,35,475,637,11,7/11/22,1300970,Rent
799,45,918,167,89,3/7/20,2512495,Sale
800,43,269,774,66,1/27/20,561450,Sale
801,49,793,324,91,1/2/21,1516720,Sale
802,54,183,884,87,5/20/22,214368,Rent
803,55,775,52,36,6/12/20,1499377,Sale
804,12,544,317,9,8/9/20,2625371,Sale
805,74,6,531,72,10/1/22,3790421,Sale
806,96,98,79,39,7/3/22,2369675,Sale
807,63,943,432,38,1/20/20,3237126,Sale
808,92,987,876,98,4/10/21,3419977,Sale
809,61,905,849,55,7/11/22,4527780,Sale
810,18,493,230,60,4/13/22,3017157,Sale
811,89,973,280,92,5/15/21,2170624,Sale
812,73,628,43,69,7/27/22,2857990,Sale
813,37,769,514,80,5/2/20,3062829,Sale
814,35,987,879,97,1/28/21,3892782,Rent
815,63,673,477,2,4/28/21,4698357,Rent
816,18,711,48,25,3/20/21,3731539,Sale
817,22,235,345,54,6/15/20,4656010,Sale
818,27,564,922,36,1/1/20,4687451,Rent
819,25,215,463,76,3/16/21,798571,Sale
820,93,804,974,80,3/19/21,828341,Sale
821,37,124,825,92,5/31/20,1249414,Sale
822,48,248,50,77,8/12/21,4439952,Sale
823,22,650,607,9,5/30/22,147915,Sale
824,80,300,756,43,5/28/21,1806213,Sale
825,40,577,819,1,11/27/21,1685600,Sale
826,74,16,371,47,7/14/21,4102586,Rent
827,95,636,872,53,7/2/21,1350563,Sale
828,83,8,989,55,7/10/21,3565054,Rent
829,94,184,722,63,11/30/20,3440987,Rent
830,79,416,780,50,10/19/20,3312026,Rent
831,34,636,453,27,1/20/20,4114278,Rent
832,49,923,332,66,7/26/22,3774268,Sale
833,45,89,559,41,6/1/21,4865586,Rent
834,90,2,234,35,11/19/20,1344822,Sale
835,63,62,645,74,5/14/21,1865257,Sale
836,42,188,306,23,4/28/21,3204853,Sale
837,100,464,607,73,11/4/21,3583334,Sale
838,10,184,863,73,11/10/22,4684363,Sale
839,77,545,900,14,3/9/21,4182459,Rent
840,60,553,43,88,10/25/22,4771116,Rent
841,39,640,52,11,6/24/20,3259466,Rent
842,52,31,332,65,1/6/22,2966349,Sale
843,81,786,191,15,3/12/20,2647025,Sale
844,22,804,413,32,8/12/22,3371018,Rent
845,71,173,515,91,2/3/22,3990668,Sale
846,50,502,820,70,5/19/21,1845423,Rent
847,95,113,637,28,6/17/20,3424717,Sale
848,80,967,812,33,7/11/21,2811962,Rent
849,1,107,986,65,1/12/20,3958086,Sale
850,7,728,633,23,3/8/20,2915083,Rent
851,92,143,557,95,8/11/22,3612020,Sale
852,15,998,892,68,2/3/20,918651,Rent
853,70,775,497,3,8/12/20,1760625,Sale
854,51,634,176,24,8/17/22,2618502,Sale
855,2,759,539,73,1/14/20,4516889,Sale
856,91,727,259,10,1/18/21,3514135,Rent
857,16,763,377,25,1/2/22,1142502,Rent
858,35,353,373,85,11/26/20,1376068,Sale
859,48,533,747,22,8/13/20,1893129,Sale
860,67,334,199,99,8/19/21,2580864,Rent
861,62,768,280,79,10/26/20,4830560,Rent
862,4,545,443,64,10/8/21,1253484,Sale
863,64,278,370,30,6/7/21,3510932,Sale
864,65,184,268,97,7/25/21,474693,Sale
865,52,772,268,39,6/13/22,450571,Rent
866,91,580,750,37,11/3/21,2484404,Sale
867,89,541,974,32,1/5/20,456673,Sale
868,51,96,204,3,4/29/20,2776082,Sale
869,87,260,833,23,11/30/20,403221,Rent
870,71,292,557,88,5/22/21,4665587,Sale
871,63,609,618,35,2/27/20,4817247,Sale
872,89,963,126,55,12/25/22,3891860,Sale
873,61,759,532,22,7/30/21,842528,Rent
874,14,311,618,59,1/15/21,2410338,Sale
875,24,154,201,22,10/4/22,3305060,Sale
876,46,58,395,72,1/12/22,3719694,Rent
877,13,62,654,62,2/4/22,1948796,Sale
878,8,82,800,10,10/28/20,3495038,Sale
879,44,138,422,41,3/11/21,1714703,Sale
880,32,209,740,44,3/11/22,2339965,Sale
881,18,151,607,53,3/31/22,4667369,Sale
882,78,719,647,11,7/4/20,4313978,Sale
883,65,601,197,50,3/1/22,3329584,Rent
884,95,798,453,77,8/10/21,2983122,Rent
885,98,39,638,32,10/2/22,4056351,Sale
886,81,207,277,27,11/8/20,4683675,Rent
887,83,36,418,93,7/16/21,1987904,Sale
888,90,87,670,76,9/4/22,4584749,Sale
889,82,866,377,34,2/21/21,3340449,Sale
890,21,707,909,83,7/13/20,1982776,Rent
891,97,657,927,87,6/17/20,3660513,Sale
892,87,541,531,21,6/6/22,1837352,Rent
893,71,305,756,76,4/25/22,2531799,Sale
894,87,127,195,100,9/7/22,4384167,Sale
895,13,832,367,64,2/23/20,1465254,Sale
896,55,338,280,9,11/13/22,2180118,Rent
897,57,124,432,45,5/2/22,2983815,Rent
898,5,130,607,94,7/9/22,2758934,Sale
899,87,394,597,21,9/8/20,2162493,Sale
900,7,121,732,71,4/2/22,782348,Sale
901,40,110,620,71,6/19/20,987020,Sale
902,75,672,616,3,11/21/22,3193076,Rent
903,43,609,335,61,8/14/20,811994,Rent
904,75,87,685,68,7/3/22,681323,Rent
905,53,352,523,67,3/20/20,951058,Sale
906,48,359,637,20,2/23/21,1620161,Sale
907,26,507,820,47,3/4/21,4519292,Rent
908,87,535,473,28,12/6/21,4253114,Rent
909,99,10,872,54,7/25/22,609415,Sale
910,12,98,979,61,3/23/21,4913265,Sale
911,59,779,612,11,4/4/21,217484,Sale
912,42,698,422,29,12/2/21,983369,Rent
913,46,640,306,92,3/8/20,3614608,Sale
914,31,102,583,38,4/10/21,2149713,Rent
915,1,921,890,71,5/8/22,534974,Sale
916,19,323,621,85,2/19/21,517853,Sale
917,79,459,372,71,11/2/20,4582107,Rent
918,94,131,658,75,5/26/21,4667135,Sale
919,4,908,142,15,11/28/21,659560,Sale
920,70,739,619,43,1/1/20,2877194,Rent
921,3,923,53,67,10/16/21,1203893,Sale
922,58,689,313,5,5/31/21,1912452,Sale
923,66,963,833,74,4/1/20,1078476,Sale
924,56,856,929,69,5/25/20,2428399,Rent
925,85,87,43,56,4/21/22,814585,Sale
926,32,803,367,26,3/30/20,3318663,Sale
927,47,456,123,47,2/1/22,3723527,Sale
928,54,798,345,50,10/13/22,912777,Rent
929,86,540,465,36,9/22/20,2603669,Rent
930,40,70,596,82,3/23/21,1458507,Sale
931,44,513,72,87,10/22/20,2799210,Sale
932,21,730,210,41,11/26/21,685896,Sale
933,14,552,9,21,7/19/21,975697,Sale
934,82,338,268,99,12/14/21,2208061,Sale
935,43,501,585,37,5/10/21,1957176,Sale
936,29,797,196,78,4/17/21,2581661,Sale
937,6,232,531,75,6/28/20,817467,Rent
938,21,243,855,81,3/21/21,4876223,Sale
939,15,300,144,70,7/31/21,2825824,Rent
940,5,433,994,2,10/23/22,3155367,Sale
941,37,896,234,28,1/2/21,2215446,Sale
942,42,456,125,4,5/26/21,4034870,Sale
943,4,362,477,66,1/25/21,2357097,Sale
944,45,723,710,55,2/25/22,3606462,Sale
945,82,866,745,30,8/2/21,2160110,Sale
946,52,918,974,33,6/8/22,506728,Sale
947,76,296,817,15,3/14/20,4827153,Sale
948,4,388,282,40,11/18/20,231513,Rent
949,49,768,898,39,7/15/20,3146740,Rent
950,31,650,531,89,11/18/20,3679470,Rent
951,20,601,473,8,3/28/20,3992461,Sale
952,58,649,435,35,5/16/21,2656056,Rent
953,45,816,813,54,12/6/22,4227301,Sale
954,13,711,602,21,10/27/21,4271632,Sale
955,28,80,847,24,1/11/21,4558279,Rent
956,89,255,74,72,3/15/21,4642353,Rent
957,84,934,555,8,8/4/20,878157,Sale
958,41,96,373,96,12/28/22,4436064,Rent
959,76,672,418,87,8/24/20,606856,Rent
960,41,634,991,92,5/15/21,2764828,Rent
961,93,905,981,39,11/24/20,2287605,Sale
962,4,723,756,78,7/24/21,2755299,Sale
963,25,541,218,74,9/24/21,4138256,Sale
964,77,582,780,24,2/11/22,1476796,Sale
965,12,386,367,92,11/11/22,198663,Sale
966,28,102,534,30,11/13/21,778753,Rent
967,59,58,724,92,11/29/22,2594353,Rent
968,45,650,876,70,10/20/22,3766126,Sale
969,3,284,585,94,7/30/20,854405,Sale
970,64,983,275,72,11/13/21,4999953,Rent
971,14,352,34,90,1/27/22,4667827,Sale
972,23,509,722,43,1/30/21,4704927,Rent
973,64,492,800,61,12/28/20,1680823,Sale
974,61,70,904,5,2/16/22,1792051,Sale
975,22,269,937,57,11/13/21,4163979,Rent
976,26,635,678,82,8/31/22,3547231,Sale
977,45,917,847,83,8/20/20,3845048,Sale
978,67,951,801,9,9/27/20,3887639,Rent
979,39,157,678,43,8/27/22,1127623,Rent
980,77,366,821,15,2/24/22,2745471,Rent
981,9,238,658,69,12/16/22,1106163,Rent
982,88,462,523,41,1/4/22,2367288,Sale
983,91,528,317,21,8/28/21,1690902,Rent
984,43,366,268,69,3/24/20,500688,Sale
985,10,99,371,34,10/1/20,2072344,Rent
986,14,718,217,74,8/11/20,4296676,Sale
987,86,253,140,63,4/21/22,3778552,Sale
988,36,478,829,13,3/15/22,1317346,Sale
989,6,170,960,3,6/1/21,4122129,Sale
990,59,673,466,1,10/19/21,64104,Sale
991,54,540,91,29,9/1/21,4023696,Sale
992,5,547,538,30,10/20/21,1879319,Sale
993,56,703,906,58,9/21/21,736880,Sale
994,45,856,484,16,3/12/20,4163575,Sale
995,86,967,372,20,3/24/21,3194235,Sale
996,93,775,217,26,9/19/22,161732,Rent
997,95,803,482,56,8/17/20,4397178,Sale
998,84,107,559,43,11/12/20,4066989,Sale
999,62,697,596,10,4/17/20,3837143,Rent
1000,15,98,150,16,2/17/20,4488234,Sale